sku_code,design_no,stock,category,size,color,sku,style,asin
BL085-L,BL085,24.0,BLOUSE,L,Orange,,,
BL085-M,BL085,15.0,BLOUSE,M,Orange,,,
BL085-S,BL085,12.0,BLOUSE,S,Orange,,,
BL085-XL,BL085,13.0,BLOUSE,XL,Orange,,,
BL085-XS,BL085,6.0,BLOUSE,XS,Orange,,,
BL085-XXL,BL085,11.0,BLOUSE,XXL,Orange,,,
,BL086,1.0,BLOUSE,FREE,Blue,,,
BL086-L,BL086,4.0,BLOUSE,L,Blue,,,
BL086-M,BL086,5.0,BLOUSE,M,Blue,,,
BL086-S,BL086,2.0,BLOUSE,S,Blue,,,
BL086-XL,BL086,5.0,BLOUSE,XL,Blue,,,
BL086-XS,BL086,8.0,BLOUSE,XS,Blue,,,
BL086-XXL,BL086,3.0,BLOUSE,XXL,Blue,,,
BL087-L,BL087,48.0,BLOUSE,L,Multicolor,,,
BL087-M,BL087,89.0,BLOUSE,M,Multicolor,,,
BL087-S,BL087,11.0,BLOUSE,S,Multicolor,,,
BL087-XL,BL087,5.0,BLOUSE,XL,Multicolor,,,
BL087-XS,BL087,18.0,BLOUSE,XS,Multicolor,,,
BL087-XXL,BL087,86.0,BLOUSE,XXL,Multicolor,,,
BL089-L,BL089,4.0,BLOUSE,L,Multicolor,,,
BL089-M,BL089,4.0,BLOUSE,M,Multicolor,,,
BL089-S,BL089,3.0,BLOUSE,S,Multicolor,,,
BL089-XL,BL089,8.0,BLOUSE,XL,Multicolor,,,
BL089-XS,BL089,4.0,BLOUSE,XS,Multicolor,,,
BL089-XXL,BL089,7.0,BLOUSE,XXL,Multicolor,,,
BL090-L,BL090,30.0,BLOUSE,L,Peach,,,
BL090-M,BL090,44.0,BLOUSE,M,Peach,,,
BL090-S,BL090,11.0,BLOUSE,S,Peach,,,
BL090-XL,BL090,16.0,BLOUSE,XL,Peach,,,
BL090-XS,BL090,29.0,BLOUSE,XS,Peach,,,
BL090-XXL,BL090,19.0,BLOUSE,XXL,Peach,,,
BL091-L,BL091,4.0,BLOUSE,L,Multicolor,,,
BL091-M,BL091,4.0,BLOUSE,M,Multicolor,,,
BL091-S,BL091,7.0,BLOUSE,S,Multicolor,,,
BL091-XL,BL091,3.0,BLOUSE,XL,Multicolor,,,
BL091-XS,BL091,7.0,BLOUSE,XS,Multicolor,,,
BL091-XXL,BL091,3.0,BLOUSE,XXL,Multicolor,,,
BL092-L,BL092,20.0,BLOUSE,L,Blue,,,
BL092-M,BL092,22.0,BLOUSE,M,Blue,,,
BL092-S,BL092,13.0,BLOUSE,S,Blue,,,
BL092-XL,BL092,27.0,BLOUSE,XL,Blue,,,
BL092-XS,BL092,17.0,BLOUSE,XS,Blue,,,
BL092-XXL,BL092,25.0,BLOUSE,XXL,Blue,,,
BL093-L,BL093,2.0,BLOUSE,L,Grey,,,
BL093-M,BL093,2.0,BLOUSE,M,Grey,,,
BL093-S,BL093,11.0,BLOUSE,S,Grey,,,
BL093-XL,BL093,4.0,BLOUSE,XL,Grey,,,
BL093-XS,BL093,4.0,BLOUSE,XS,Grey,,,
BL093-XXL,BL093,3.0,BLOUSE,XXL,Grey,,,
BL095-L,BL095,51.0,BLOUSE,L,Multicolor,,,
BL095-M,BL095,34.0,BLOUSE,M,Multicolor,,,
BL095-S,BL095,51.0,BLOUSE,S,Multicolor,,,
BL095-XL,BL095,26.0,BLOUSE,XL,Multicolor,,,
BL095-XS,BL095,59.0,BLOUSE,XS,Multicolor,,,
BL095-XXL,BL095,32.0,BLOUSE,XXL,Multicolor,,,
BL096-L,BL096,2.0,BLOUSE,L,Beige,,,
BL096-M,BL096,2.0,BLOUSE,M,Beige,,,
BL096-S,BL096,8.0,BLOUSE,S,Beige,,,
BL096-XL,BL096,2.0,BLOUSE,XL,Beige,,,
BL096-XS,BL096,8.0,BLOUSE,XS,Beige,,,
BL096-XXL,BL096,2.0,BLOUSE,XXL,Beige,,,
BL097-L,BL097,42.0,BLOUSE,L,Maroon,,,
BL097-M,BL097,25.0,BLOUSE,M,Maroon,,,
BL097-S,BL097,39.0,BLOUSE,S,Maroon,,,
BL097-XL,BL097,11.0,BLOUSE,XL,Maroon,,,
BL097-XS,BL097,9.0,BLOUSE,XS,Maroon,,,
BL097-XXL,BL097,35.0,BLOUSE,XXL,Maroon,,,
BL098-L,BL098,25.0,BLOUSE,L,Brown,,,
BL098-M,BL098,31.0,BLOUSE,M,Brown,,,
BL098-S,BL098,39.0,BLOUSE,S,Brown,,,
BL098-XL,BL098,34.0,BLOUSE,XL,Brown,,,
BL098-XS,BL098,31.0,BLOUSE,XS,Brown,,,
BL098-XXL,BL098,27.0,BLOUSE,XXL,Brown,,,
BL099-L,BL099,5.0,BLOUSE,L,Black,,,
BL099-M,BL099,6.0,BLOUSE,M,Black,,,
BL099-S,BL099,9.0,BLOUSE,S,Black,,,
BL099-XL,BL099,6.0,BLOUSE,XL,Black,,,
BL099-XS,BL099,12.0,BLOUSE,XS,Black,,,
BL099-XXL,BL099,4.0,BLOUSE,XXL,Black,,,
BL100-L,BL100,4.0,BLOUSE,L,Green,,,
BL100-M,BL100,5.0,BLOUSE,M,Green,,,
BL100-S,BL100,6.0,BLOUSE,S,Green,,,
BL100-XL,BL100,8.0,BLOUSE,XL,Green,,,
BL100-XS,BL100,9.0,BLOUSE,XS,Green,,,
BL100-XXL,BL100,5.0,BLOUSE,XXL,Green,,,
BL101-L,BL101,2.0,BLOUSE,L,Grey,,,
BL101-M,BL101,3.0,BLOUSE,M,Grey,,,
BL101-S,BL101,8.0,BLOUSE,S,Grey,,,
BL101-XL,BL101,4.0,BLOUSE,XL,Grey,,,
BL101-XS,BL101,6.0,BLOUSE,XS,Grey,,,
BL101-XXL,BL101,2.0,BLOUSE,XXL,Grey,,,
BL102-L,BL102,7.0,BLOUSE,L,Navy Blue,,,
BL102-M,BL102,5.0,BLOUSE,M,Navy Blue,,,
BL102-S,BL102,16.0,BLOUSE,S,Navy Blue,,,
BL102-XL,BL102,19.0,BLOUSE,XL,Navy Blue,,,
BL102-XS,BL102,16.0,BLOUSE,XS,Navy Blue,,,
BL102-XXL,BL102,6.0,BLOUSE,XXL,Navy Blue,,,
BL103-L,BL103,7.0,BLOUSE,L,Maroon,,,
BL103-M,BL103,3.0,BLOUSE,M,Maroon,,,
BL103-S,BL103,29.0,BLOUSE,S,Maroon,,,
BL103-XL,BL103,8.0,BLOUSE,XL,Maroon,,,
BL103-XS,BL103,27.0,BLOUSE,XS,Maroon,,,
BL103-XXL,BL103,4.0,BLOUSE,XXL,Maroon,,,
BL104-L,BL104,32.0,BLOUSE,L,Black,,,
BL104-M,BL104,49.0,BLOUSE,M,Black,,,
BL104-S,BL104,14.0,BLOUSE,S,Black,,,
BL104-XL,BL104,20.0,BLOUSE,XL,Black,,,
BL104-XS,BL104,29.0,BLOUSE,XS,Black,,,
BL104-XXL,BL104,26.0,BLOUSE,XXL,Black,,,
BL107-L,BL107,2.0,BLOUSE,L,White,,,
BL107-M,BL107,2.0,BLOUSE,M,White,,,
BL107-S,BL107,15.0,BLOUSE,S,White,,,
BL107-XL,BL107,3.0,BLOUSE,XL,White,,,
BL107-XS,BL107,6.0,BLOUSE,XS,White,,,
BL107-XXL,BL107,4.0,BLOUSE,XXL,White,,,
