ship_postal_code,orders_count,customer_segment
741152.0,5,Frequent
486884.0,3,Frequent
845412.0,3,Frequent
425422.0,1,One-time
517390.0,2,Frequent
690106.0,3,Frequent
781308.0,2,Frequent
695501.0,15,Loyal
533437.0,5,Frequent
505490.0,1,One-time
442305.0,2,Frequent
781131.0,1,One-time
400050.0,125,Loyal
274404.0,1,One-time
141007.0,9,Loyal
607201.0,1,One-time
530044.0,18,Loyal
445207.0,1,One-time
574232.0,1,One-time
382022.0,1,One-time
577230.0,1,One-time
303303.0,6,Loyal
643105.0,1,One-time
758001.0,11,Loyal
670671.0,1,One-time
402104.0,9,Loyal
522235.0,1,One-time
412801.0,2,Frequent
303805.0,1,One-time
571219.0,1,One-time
843165.0,1,One-time
201011.0,58,Loyal
400089.0,61,Loyal
243003.0,3,Frequent
632010.0,1,One-time
483110.0,1,One-time
507202.0,1,One-time
208005.0,15,Loyal
505326.0,10,Loyal
481441.0,1,One-time
700080.0,14,Loyal
854108.0,1,One-time
190017.0,2,Frequent
211013.0,10,Loyal
629203.0,1,One-time
530045.0,28,Loyal
226018.0,26,Loyal
380052.0,26,Loyal
273165.0,1,One-time
638401.0,9,Loyal
452015.0,5,Frequent
524413.0,8,Loyal
403003.0,1,One-time
571422.0,3,Frequent
841302.0,1,One-time
828116.0,2,Frequent
682015.0,4,Frequent
688530.0,3,Frequent
506330.0,3,Frequent
844505.0,2,Frequent
411018.0,59,Loyal
795114.0,2,Frequent
691557.0,2,Frequent
445203.0,4,Frequent
521120.0,1,One-time
400097.0,142,Loyal
522410.0,3,Frequent
620005.0,8,Loyal
211008.0,30,Loyal
441122.0,5,Frequent
518005.0,4,Frequent
751012.0,52,Loyal
768027.0,2,Frequent
845307.0,2,Frequent
383410.0,3,Frequent
176076.0,1,One-time
515001.0,89,Loyal
416425.0,1,One-time
570032.0,1,One-time
160017.0,2,Frequent
516203.0,1,One-time
503224.0,12,Loyal
560062.0,227,Loyal
535004.0,1,One-time
110061.0,7,Loyal
576213.0,7,Loyal
395002.0,11,Loyal
209866.0,1,One-time
509358.0,1,One-time
483504.0,2,Frequent
176057.0,13,Loyal
495449.0,1,One-time
631004.0,1,One-time
560075.0,143,Loyal
678583.0,2,Frequent
713103.0,17,Loyal
534266.0,1,One-time
342304.0,2,Frequent
737121.0,22,Loyal
829107.0,5,Frequent
182311.0,3,Frequent
365435.0,1,One-time
831004.0,40,Loyal
501301.0,43,Loyal
700020.0,26,Loyal
394185.0,6,Loyal
133104.0,2,Frequent
610001.0,7,Loyal
524309.0,2,Frequent
581365.0,1,One-time
802152.0,1,One-time
110015.0,102,Loyal
416613.0,1,One-time
751001.0,27,Loyal
735204.0,3,Frequent
507003.0,10,Loyal
753015.0,2,Frequent
384170.0,2,Frequent
678103.0,2,Frequent
401209.0,76,Loyal
403703.0,23,Loyal
835229.0,2,Frequent
361008.0,13,Loyal
175015.0,6,Loyal
751031.0,6,Loyal
574202.0,8,Loyal
476001.0,16,Loyal
686563.0,3,Frequent
782127.0,1,One-time
584128.0,10,Loyal
713408.0,1,One-time
