item1,item2,pair_count,item1_count,item2_count,total_count,support,confidence_item1_to_item2,confidence_item2_to_item1,lift
Designer Set,Elegant Set,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Stylish Kurta,Designer Kurta,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Silk Saree,Cotton Saree,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Cotton Kurta,Cotton Kurta,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Casual Set,Designer Set,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Designer Saree,Cotton Saree,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Designer Top,Designer Top,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Casual Kurta,Designer Kurta,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Casual Kurta,Designer Kurta,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Casual Saree,Designer Saree,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Designer Kurta,Casual Kurta,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Cotton Blouse,Casual Blouse,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Stylish Kurta,Cotton Kurta,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Silk Blouse,Cotton Blouse,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Stylish Kurta,Cotton Kurta,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Cotton Kurta,Designer Kurta,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Cotton Kurta,Cotton Kurta,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Casual Saree,Designer Saree,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Cotton Blouse,Silk Blouse,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Cotton Saree,Designer Saree,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Cotton Saree,Cotton Saree,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Designer Saree,Designer Saree,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Casual Blouse,Silk Blouse,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Casual Blouse,Silk Blouse,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Designer Saree,Designer Saree,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Cotton Kurta,Stylish Kurta,1,2,1,119764,8.349754517217195e-06,0.5,1.0,59881.99999999999
Designer Kurta,Cotton Kurta,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Designer Saree,Casual Saree,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Silk Blouse,Casual Blouse,1,1,2,119764,8.349754517217195e-06,1.0,0.5,59881.99999999999
Silk Saree,Cotton Saree,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Stylish Kurta,Casual Set,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Stylish Kurta,Designer Kurta,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Designer Saree,Cotton Saree,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Casual Set,Stylish Kurta,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Stylish Kurta,Formal Set,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Casual Set,Formal Set,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Casual Dress,Designer Set,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Cotton Kurta,Designer Kurta,2,2,3,119764,1.669950903443439e-05,1.0,0.6666666666666666,39921.33333333333
Stylish Kurta,Stylish Kurta,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Casual Kurta,Designer Ethnic Dress,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Casual Top,Designer Ethnic Dress,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Designer Ethnic Dress,Casual Top,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Elegant Set,Cotton Kurta,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Designer Kurta,Cotton Kurta,2,3,2,119764,1.669950903443439e-05,0.6666666666666666,1.0,39921.33333333333
Casual Kurta,Cotton Kurta,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Cotton Saree,Designer Saree,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Designer Ethnic Dress,Casual Kurta,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Cotton Kurta,Casual Kurta,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Designer Ethnic Dress,Summer Dress,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Summer Dress,Designer Ethnic Dress,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Stylish Kurta,Stylish Kurta,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Designer Kurta,Stylish Kurta,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Leggings,Chinos,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Chinos,Leggings,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Designer Set,Casual Dress,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Casual Set,Designer Kurta,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Cotton Kurta,Elegant Set,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Formal Set,Stylish Kurta,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Designer Top,Formal Top,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Casual Top,Designer Top,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Formal Top,Designer Top,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Designer Kurta,Casual Set,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Formal Set,Casual Set,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Jeans,Shorts,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Formal Top,Casual Top,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Shorts,Jeans,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Cotton Saree,Silk Saree,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Stylish Kurta,Casual Set,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Casual Set,Stylish Kurta,1,3,1,119764,8.349754517217195e-06,0.3333333333333333,1.0,39921.33333333333
Designer Top,Casual Top,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Casual Top,Formal Top,1,1,3,119764,8.349754517217195e-06,1.0,0.3333333333333333,39921.33333333333
Designer Saree,Cotton Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Silk Saree,Cotton Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Kurta,Cotton Kurta,1,4,1,119764,8.349754517217195e-06,0.25,1.0,29940.999999999996
Summer Dress,Cotton Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Saree,Casual Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Saree,Cotton Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Saree,Casual Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Saree,Cotton Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Stylish Kurta,Casual Kurta,1,4,1,119764,8.349754517217195e-06,0.25,1.0,29940.999999999996
Designer Saree,Casual Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Designer Kurta,Stylish Kurta,1,1,4,119764,8.349754517217195e-06,1.0,0.25,29940.999999999996
Casual Kurta,Stylish Kurta,1,1,4,119764,8.349754517217195e-06,1.0,0.25,29940.999999999996
Summer Top,Summer Top,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Blouse,Cotton Blouse,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Kurta,Stylish Kurta,1,1,4,119764,8.349754517217195e-06,1.0,0.25,29940.999999999996
Silk Saree,Cotton Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Stylish Kurta,Casual Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Stylish Kurta,Designer Kurta,1,4,1,119764,8.349754517217195e-06,0.25,1.0,29940.999999999996
Summer Top,Casual Top,1,4,1,119764,8.349754517217195e-06,0.25,1.0,29940.999999999996
Stylish Kurta,Formal Set,1,4,1,119764,8.349754517217195e-06,0.25,1.0,29940.999999999996
Casual Set,Casual Set,1,1,4,119764,8.349754517217195e-06,1.0,0.25,29940.999999999996
Casual Kurta,Cotton Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Kurta,Casual Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Silk Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Silk Saree,Designer Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Kurta,Designer Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Top,Summer Top,1,1,4,119764,8.349754517217195e-06,1.0,0.25,29940.999999999996
Designer Saree,Casual Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Cotton Kurta,Cotton Kurta,1,1,4,119764,8.349754517217195e-06,1.0,0.25,29940.999999999996
Casual Kurta,Casual Kurta,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Saree,Cotton Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Formal Set,Formal Set,1,1,4,119764,8.349754517217195e-06,1.0,0.25,29940.999999999996
Cotton Blouse,Casual Blouse,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
Casual Saree,Cotton Saree,1,2,2,119764,8.349754517217195e-06,0.5,0.5,29940.999999999996
