item1,item2,item1_name,item2_name,pair_count
JNE3718-KR-XXXL,JNE3465-KR-XXXL,Stylish Kurta,Casual Kurta,3
MEN5023-KR-M,MEN5001-KR-M,Designer Kurta,Cotton Kurta,3
JNE3797-KR-L,JNE3798-KR-L,Evening Dress,Cocktail Dress,3
J0003-SET-M,JNE3543-KR-M,Elegant Set,Casual Kurta,3
SET331-KR-NP-S,SET345-KR-NP-S,Elegant Set,Designer Set,3
MEN5024-KR-L,MEN5021-KR-L,Cotton Kurta,Designer Kurta,3
JNE3461-KR-L,JNE3739-KR-L,Designer Kurta,Cotton Kurta,3
MEN5024-KR-XXL,MEN5018-KR-XXL,Designer Kurta,Stylish Kurta,3
JNE3797-KR-L,JNE3800-KR-M,Evening Dress,Evening Dress,3
SET331-KR-NP-XS,SET324-KR-NP-XS,Formal Set,Formal Set,3
SET331-KR-NP-XS,SET339-KR-NP-XS,Formal Set,Formal Set,3
MEN5025-KR-XXL,MEN5021-KR-XXL,Stylish Kurta,Stylish Kurta,3
JNE3797-KR-L,JNE3801-KR-M,Evening Dress,Cotton Kurta,3
JNE3721-KR-L,JNE3703-KR-L,Casual Kurta,Designer Kurta,3
MEN5027-KR-L,MEN5008-KR-L,Casual Kurta,Cotton Kurta,3
JNE3797-KR-M,JNE3797-KR-L,Cocktail Dress,Evening Dress,3
JNE3797-KR-M,JNE3797-KR-S,Cocktail Dress,Evening Dress,3
JNE3797-KR-M,JNE3798-KR-M,Cocktail Dress,Summer Dress,3
MEN5028-KR-XXL,MEN5029-KR-XXL,Cotton Kurta,Cotton Kurta,3
SET333-KR-DPT-XXXL,SET307-KR-DPT-XXXL,Formal Set,Elegant Set,3
SET339-KR-NP-XS,SET331-KR-NP-XS,Formal Set,Formal Set,3
MEN5029-KR-XXL,MEN5028-KR-XXL,Cotton Kurta,Cotton Kurta,3
MEN5032-KR-S,MEN5022-KR-S,Cotton Kurta,Cotton Kurta,3
JNE3797-KR-S,JNE3797-KR-M,Evening Dress,Cocktail Dress,3
NW002-TP-PJ-L,NW003-TP-PJ-L,Elegant Set,Formal Set,3
NW003-TP-PJ-L,NW002-TP-PJ-L,Formal Set,Elegant Set,3
SET341-KR-NP-XL,SET341-KR-NP-XXL,Formal Set,Elegant Set,3
SET341-KR-NP-XXL,SET341-KR-NP-XL,Elegant Set,Formal Set,3
NW004-TP-PJ-XXXL,NW012-TP-PJ-XXXL,Formal Set,Elegant Set,3
SET344-KR-NP-S,SET349-KR-NP-S,Designer Set,Formal Set,3
SET344-KR-NP-S,SET356-KR-NP-S,Designer Set,Formal Set,3
J0338-DR-XXXL,J0341-DR-XXXL,Summer Dress,Cocktail Dress,3
JNE3797-KR-S,JNE3800-KR-S,Evening Dress,Cocktail Dress,3
NW012-TP-PJ-XL,NW030-TP-PJ-XL,Designer Set,Designer Set,3
SET345-KR-NP-L,SET324-KR-NP-L,Casual Set,Designer Set,3
JNE3797-KR-S,JNE3801-KR-S,Evening Dress,Designer Kurta,3
