sku,style,category,size,asin
JNE3797-KR-L,JNE3797,Western Dress,L,B09SDXFFQ1
JNE3887-KR-XL,JNE3887,kurta,XL,B09TZVXQ1J
JNE3870-DR-XXL,JNE3870,Western Dress,XXL,B09RK61TZX
SET345-KR-NP-XS,SET345,Set,XS,B09KXSVTDB
NW013-ST-SR-L,NW013,Set,L,B0928XJX1F
JNE2014-KR-178-XL,JNE2014,kurta,XL,B077MM3LFJ
JNE3612-KR-S,JNE3612,kurta,S,B091Q7G4PC
PJNE2100-KR-N-6XL,PJNE2100,kurta,6XL,B09LD3PMBT
SET398-KR-PP-XXXL,SET398,Set,3XL,B09RPJD74Z
J0006-SET-M,J0006,Ethnic Dress,M,B0894WV6S6
JNE3437-KR-S,JNE3437,kurta,S,B085HGB1GT
JNE3465-KR-S,JNE3465,kurta,S,B08BF4GQ9V
J0373-KR-XXXL,J0373,kurta,3XL,B09KXQ3NHZ
J0344-TP-XXXL,J0344,Top,3XL,B098731927
J0118-TP-XXL,J0118,Top,XXL,B08N4QTQHW
SET200-KR-NP-A-XS,SET200,Set,XS,B08L92SN2W
JNE1998-KR-311-XXL,JNE1998,kurta,XXL,B078NTPQHT
MEN5004-KR-XXXL,MEN5004,kurta,3XL,B08YZ2W99X
SET345-KR-NP-XXL,SET345,Set,XXL,B09KXSQ73F
JNE3654-TP-L,JNE3654,Top,L,B09B3GS5CM
J0344-TP-L,J0344,Top,L,B0986XYFFP
J0334-TP-L,J0334,Top,L,B0986XXHX7
J0230-SKD-S,J0230,Set,S,B08XNJ19QH
JNE1233-BLUE-KR-031-XXL,JNE1233,kurta,XXL,B071VG5FH4
J0295-DR-M,J0295,Western Dress,M,B099NP42BF
SET324-KR-NP-L,SET324,Set,L,B09NQ44RNV
J0147-SET-XL,J0147,Set,XL,B091Z8TV5Q
J0308-DR-L,J0308,Western Dress,L,B099NS9KRN
NW030-TP-PJ-L,NW030,Set,L,B09G2T795K
SET360-KR-NP-XL,SET360,Set,XL,B09QJLG4DF
PJNE3373-KR-N-6XL,PJNE3373,kurta,6XL,B09LD3TCYP
JNE3449-KR-XXL,JNE3449,kurta,XXL,B08BF9DZ3F
JNE3786-KR-S,JNE3786,kurta,S,B09M72VK88
J0003-SET-XXL,J0003,Set,XXL,B0894XKVH3
J0314-KR-M,J0314,kurta,M,B08PV1NB1B
J0341-DR-M,J0341,Western Dress,M,B099NQQ79L
PJNE3068-KR-4XL,PJNE3068,kurta,4XL,B09M75YGQF
J0340-TP-M,J0340,Top,M,B0986XSXR1
JNE3687-TU-M,JNE3687,Top,M,B0986XRZ8X
J0376-SKD-L,J0376,Set,L,B09QJ4PXZ3
J0198-TP-S,J0198,Top,S,B0986XYHCY
JNE3453-KR-S,JNE3453,kurta,S,B085HMWJ4R
SET398-KR-PP-M,SET398,Set,M,B09RPRS8JL
NW033-ST-CP-XXXL,NW033,Set,3XL,B099NPX9K3
NW037-TP-SR-XXXL,NW037,Set,3XL,B099NQT8H8
JNE3618-KR-M,JNE3618,kurta,M,B091Q9Q34N
SET290-KR-DPT-M,SET290,Set,M,B09B5922WD
JNE3568-KR-XXL,JNE3568,kurta,XXL,B08KRYXSYH
J0003-SET-XXXL,J0003,Set,3XL,B0894Y3VBB
JNE2153-KR-278-A-S,JNE2153,kurta,S,B0794T8ZLN
JNE3645-TP-N-XS,JNE3645,Top,XS,B08ZJ2CB3B
JNE3662-TP-XS,JNE3662,Top,XS,B0986ZVL6Y
JNE3440-KR-N-L,JNE3440,kurta,L,B081X7JHBC
SET331-KR-NP-S,SET331,Set,S,B09NQ47F17
J0301-TP-M,J0301,Top,M,B099S9DTR2
MEN5004-KR-XL,MEN5004,kurta,XL,B08YZ19332
J0352-KR-S,J0352,kurta,S,B098119Y7R
JNE3160-KR-G-XXL,JNE3160,kurta,XXL,B07K44CD3P
JNE3798-KR-M,JNE3798,Western Dress,M,B09SDXTRS9
JNE3690-TU-XL,JNE3690,Top,XL,B094FKN153
SET355-KR-PP-XXL,SET355,Set,XXL,B09RKD8HQJ
SET317-KR-PP-XXL,SET317,Set,XXL,B09RKD5B2W
SET375-KR-NP-XL,SET375,Set,XL,B09RKFLLF1
JNE3371-KR-M,JNE3371,kurta,M,B07WP5HRMB
SET116-KR-NP-XL,SET116,Set,XL,B082Z3MRPB
SET147-KR-NP-XL,SET147,Set,XL,B089B1J57W
SET397-KR-NP-XL,SET397,Set,XL,B09RKDB8SB
SET300-KR-NP-L,SET300,Set,L,B09KXTBZ3N
JNE3384-KR-M,JNE3384,kurta,M,B084KYYXR3
JNE3291-KR-XL,JNE3291,kurta,XL,B07R4XJNW3
SET291-KR-PP-L,SET291,Set,L,B099NJKJ54
JNE3399-KR-L,JNE3399,kurta,L,B082W8354V
JNE3440-KR-N-XS,JNE3440,kurta,XS,B09HMY3YLT
SET363-KR-NP-XXL,SET363,Set,XXL,B09TH61GMF
J0348-SET-S,J0348,Set,S,B09HNSNWRH
J0399-DR-M,J0399,Western Dress,M,B09SDYL6L2
JNE3797-KR-M,JNE3797,Western Dress,M,B09SDY8DCT
JNE3440-KR-N-M,JNE3440,kurta,M,B081WY1SP3
JNE3802-KR-M,JNE3802,kurta,M,B09K3W2LHF
J0285-SKD-M,J0285,Set,M,B08QGNW2H8
SET322-KR-SHA-XL,SET322,Set,XL,B09RKHL9H2
MEN5021-KR-XL,MEN5021,kurta,XL,B08YYVLZVH
PJ0096-KR-N-5XL,PJ0096,kurta,5XL,B09LD3ZZ2N
JNE3461-KR-M,JNE3461,kurta,M,B08B3VSTFG
SET383-KR-NP-L,SET383,Set,L,B09K3PDMBM
J0002-SKD-XXXL,J0002,Set,3XL,B0894YJC25
SET344-KR-NP-XXXL,SET344,Set,3XL,B09QJ3WT3H
JNE3465-KR-XXL,JNE3465,kurta,XXL,B08BFT4ZKX
SET324-KR-NP-XXL,SET324,Set,XXL,B09NQ3MPRM
SET184-KR-PP-XXXL,SET184,Set,3XL,B08W98B8ZN
J0008-SKD-S,J0008,Set,S,B0894XGJ83
J0013-SKD-XXL,J0013,Set,XXL,B08CMRGFFJ
J0208-DR-S,J0208,Western Dress,S,B0967PHLMJ
SET344-KR-NP-XL,SET344,Set,XL,B09QJ57BL6
NW001-TP-PJ-XXL,NW001,Set,XXL,B0922V99HN
SET304-KR-DPT-S,SET304,Set,S,B09K3JVNR1
SET265-KR-NP-XL,SET265,Set,XL,B0983DQLBQ
SET004-KR-SP-A-S,SET004,Set,S,B07K5BDG1D
J0012-SKD-M,J0012,Set,M,B0894XYMWS
JNE3465-KR-M,JNE3465,kurta,M,B08BFV1DVW
SET374-KR-NP-XS,SET374,Set,XS,B09NDKGZ6V
JNE3567-KR-XL,JNE3567,kurta,XL,B08KRTXC2Y
J0041-SET-M,J0041,Set,M,B089G2L483
JNE3611-KR-XL,JNE3611,kurta,XL,B08XVPKBKG
SET384-KR-NP-XS,SET384,Set,XS,B09K3DFHT2
JNE3635-KR-L,JNE3635,kurta,L,B08XVYN7G6
J0118-TP-XXXL,J0118,Top,3XL,B08N43MK22
JNE3654-TP-XS,JNE3654,Top,XS,B0986ZFY2S
JNE3652-TP-N-XL,JNE3652,Top,XL,B08ZHXGSW3
J0339-DR-L,J0339,Western Dress,L,B098315N2Z
SET303-KR-NP-XL,SET303,Set,XL,B09K3F7D9H
JNE3396-KR-XXXL,JNE3396,kurta,3XL,B083ZZ8869
JNE3256-KR-XXXL,JNE3256,kurta,3XL,B07RSWN1C4
J0340-TP-XS,J0340,Top,XS,B0987184SL
J0335-DR-S,J0335,Western Dress,S,B09831NCG7
J0008-SKD-L,J0008,Set,L,B0894YB3B1
SET268-KR-NP-XS,SET268,Set,XS,B08XQBXFPP
J0280-SKD-S,J0280,Set,S,B08QGM7FCC
J0339-DR-M,J0339,Western Dress,M,B09831YHGV
JNE3564-KR-XXXL,JNE3564,kurta,3XL,B09B2FNCBT
SET182-KR-DH-L,SET182,Set,L,B085HRLT87
SET128-KR-DH-M,SET128,Set,M,B07WZFT117
JNE3567-KR-XXL,JNE3567,kurta,XXL,B08KRYCC8J
JNE3568-KR-L,JNE3568,kurta,L,B08KS2BPL8
JNE3881-DR-XXXL,JNE3881,Western Dress,3XL,B09VC3ST6H
JNE3639-TP-N-XXL,JNE3639,Top,XXL,B08ZH7RVGJ
SET291-KR-PP-XXL,SET291,Set,XXL,B099NJQ8JQ
JNE3613-KR-XXL,JNE3613,kurta,XXL,B08XWBRM8L
JNE3368-KR-XXXL,JNE3368,kurta,3XL,B0828PD16L
JNE3522-KR-XXL,JNE3522,kurta,XXL,B08W9K3MXR
JNE3741-KR-XXL,JNE3741,kurta,XXL,B099FBTWW1
SET293-KR-NP-S,SET293,Set,S,B09K3G4TS6
SET388-KR-NP-L,SET388,Set,L,B09QJLFDRK
J0008-SKD-XS,J0008,Set,XS,B0894WWGK9
SET197-KR-NP-L,SET197,Set,L,B08B3YPD63
MEN5029-KR-M,MEN5029,kurta,M,B08YZ1SZDH
J0341-DR-XS,J0341,Western Dress,XS,B099NS55L1
JNE3800-KR-M,JNE3800,Western Dress,M,B09SDXQ3X9
SET183-KR-DH-M,SET183,Set,M,B08B3Z2YY3
J0341-DR-XXL,J0341,Western Dress,XXL,B099NR3NXY
J0341-DR-XXXL,J0341,Western Dress,3XL,B099NSQP4Z
J0331-KR-XXXL,J0331,kurta,3XL,B09PD63F81
JNE3752-KR-XXXL,JNE3752,kurta,3XL,B09K3Z6TT3
SET369-KR-NP-XXL,SET369,Set,XXL,B09QJM97Z8
JNE3373-KR-XS,JNE3373,kurta,XS,B082W872VQ
JNE3805-KR-L,JNE3805,kurta,L,B09K3ZKHMW
JNE3537-KR-M,JNE3537,kurta,M,B08JGXZHY9
J0003-SET-XL,J0003,Set,XL,B0894YFQ5R
SET264-KR-NP-XXL,SET264,Set,XXL,B08YNK9K8F
JNE3567-KR-XS,JNE3567,kurta,XS,B08KRXDR4Y
J0329-KR-XXXL,J0329,kurta,3XL,B09KXRLH3S
JNE3568-KR-XL,JNE3568,kurta,XL,B08KS2BCHS
SET341-KR-NP-L,SET341,Set,L,B09NPXCZZG
JNE3543-KR-M,JNE3543,kurta,M,B08HHJQ3F4
JNE3365-KR-1052-A-S,JNE3365,kurta,S,B07WS14TZY
JNE3759-KR-XL,JNE3759,kurta,XL,B099FB2C9L
MEN5001-KR-L,MEN5001,kurta,L,B08YYRNM5M
J0098-TP-XS,J0098,Top,XS,B092CZW41L
SET226-KR-PP-L,SET226,Set,L,B08MYTQ4F9
SET380-KR-NP-XXXL,SET380,Set,3XL,B09QJ3F6T9
MEN5009-KR-M,MEN5009,kurta,M,B08YYX8VKT
MEN5011-KR-M,MEN5011,kurta,M,B08YZ1Z5XS
MEN5032-KR-S,MEN5032,kurta,S,B08YYXJJ4V
SET359-KR-NP-XXL,SET359,Set,XXL,B09RKFC8CP
J0199-SET-XXXL,J0199,Set,3XL,B08QGMQRLF
J0401-DR-L,J0401,Western Dress,L,B09SDXN14H
J0003-SET-XS,J0003,Set,XS,B0894WW15B
J0308-DR-XL,J0308,Western Dress,XL,B099NS3FWG
PJNE3252-KR-N-6XL,PJNE3252,kurta,6XL,B09LD24932
JNE3752-KR-M,JNE3752,kurta,M,B09K3WC7DN
SET217-KR-PP-XXXL,SET217,Set,3XL,B089B2WLM2
JNE3799-KR-XL,JNE3799,kurta,XL,B09SDYHWLX
JNE3294-KR-S,JNE3294,kurta,S,B07R5W78SS
SET356-KR-NP-XXXL,SET356,Set,3XL,B09QJ49VXB
JNE2014-KR-178-XXXL,JNE2014,kurta,3XL,B07G2CSMX9
J0401-DR-XS,J0401,Western Dress,XS,B09SDXYWYN
SET365-KR-NP-L,SET365,Set,L,B09QJM9NDP
JNE3405-KR-XXXL,JNE3405,kurta,3XL,B081WZ4T3V
J0230-SKD-XXL,J0230,Set,XXL,B08XNGQCGM
JNE3465-KR-XXXL,JNE3465,kurta,3XL,B08BFVXK6N
SET265-KR-NP-M,SET265,Set,M,B0983DBK44
JNE3288-KR-M,JNE3288,kurta,M,B07R4ZNMX6
SET316-KR-DPT-M,SET316,Set,M,B09KXTXLMZ
SET268-KR-NP-S,SET268,Set,S,B08XQ98B2Q
JNE3800-KR-XXL,JNE3800,Western Dress,XXL,B09SDYNZQ5
JNE2270-KR-487-A-L,JNE2270,kurta,L,B07H7FBV3Z
MEN5024-KR-M,MEN5024,kurta,M,B08YYTTNY5
MEN5023-KR-XL,MEN5023,kurta,XL,B08YZ22Q6R
JNE3797-KR-XS,JNE3797,Western Dress,XS,B09SDY9SQ6
JNE3515-KR-XL,JNE3515,kurta,XL,B09812MNZC
J0225-SKD-XXL,J0225,Set,XXL,B09RKDP7D5
JNE3461-KR-L,JNE3461,kurta,L,B08B3YWTLK
JNE3618-KR-XS,JNE3618,kurta,XS,B091Q9S5ZK
PJNE3405-KR-N-5XL,PJNE3405,kurta,5XL,B09LD3PCNY
JNE3500-KR-S,JNE3500,kurta,S,B09812MBCD
JNE3368-KR-XXL,JNE3368,kurta,XXL,B081WSWWL7
JNE2270-KR-487-A-XL,JNE2270,kurta,XL,B07H7F6SKC
JNE3568-KR-S,JNE3568,kurta,S,B08KRYGJD1
J0096-KR-S,J0096,kurta,S,B089G356KM
SET319-KR-NP-S,SET319,Set,S,B09KXV4TTM
J0415-DR-L,J0415,Western Dress,L,B09TY1CM1M
JNE3718-KR-XXL,JNE3718,kurta,XXL,B099NMS4LL
SET014-KR-PP-XXL,SET014,Set,XXL,B07JPDGGHY
SET408-KR-NP-XXL,SET408,Set,XXL,B09RKFHRZF
